,Unnamed: 0,Voltage Set,Current Set,Voltage Measured,Current Measured,key,Voltage Absolute Error,Voltage Percentage Error (%),Current Absolute Error,Current Percentage Error(%),Upper Error Boundary,Lower Error Boundary,Condition ?
94,94,17.5,2,17.4872412,2,1,0.0127588000000002,0.0729074285714302,0,0.0,0.15437499999999998,-0.15437499999999998,False
95,95,18.0,2,17.9839719,2,1,0.0160280999999997,0.0890449999999987,0,0.0,0.1545,-0.1545,False
96,96,18.5,2,18.4813379,2,1,0.0186621000000002,0.1008762162162175,0,0.0,0.15462499999999998,-0.15462499999999998,False
97,97,19.0,2,18.9863936,2,1,0.0136064000000004,0.0716126315789498,0,0.0,0.15475,-0.15475,False
98,98,19.5,2,19.4868605,2,1,0.0131395000000011,0.0673820512820574,0,0.0,0.15487499999999998,-0.15487499999999998,False
99,99,20.0,2,19.9932467,2,1,0.0067532999999997,0.0337664999999987,0,0.0,0.155,-0.155,False
100,100,20.5,2,20.4953196,2,1,0.0046804000000015,0.0228312195122028,0,0.0,0.15512499999999999,-0.15512499999999999,False
101,101,21.0,2,20.9947797,2,1,0.0052203000000012,0.0248585714285775,0,0.0,0.15525,-0.15525,False
102,102,21.5,2,21.4857164,2,1,0.0142835999999988,0.0664353488372039,0,0.0,0.15537499999999999,-0.15537499999999999,False
103,103,22.0,2,21.9860543,2,1,0.0139457000000007,0.0633895454545487,0,0.0,0.1555,-0.1555,False
104,104,22.5,2,22.4814726,2,1,0.0185273999999999,0.0823439999999998,0,0.0,0.15562499999999999,-0.15562499999999999,False
105,105,23.0,2,22.9935565,2,1,0.0064434999999996,0.0280152173913026,0,0.0,0.15575,-0.15575,False
106,106,23.5,2,23.4864464,2,1,0.0135536000000016,0.0576748936170281,0,0.0,0.15587499999999999,-0.15587499999999999,False
107,107,24.0,2,23.9879087,2,1,0.0120913000000015,0.0503804166666732,0,0.0,0.156,-0.156,False
108,108,24.5,2,24.4867521,2,1,0.0132478999999996,0.0540730612244883,0,0.0,0.15612499999999999,-0.15612499999999999,False
109,109,25.0,2,24.9863575,2,1,0.0136424999999995,0.0545699999999982,0,0.0,0.15625,-0.15625,False
110,110,25.5,2,25.4871447,2,1,0.0128552999999982,0.0504129411764636,0,0.0,0.156375,-0.156375,False
111,111,26.0,2,25.9904136,2,1,0.0095863999999998,0.0368707692307687,0,0.0,0.1565,-0.1565,False
112,112,26.5,2,26.4849384,2,1,0.0150615999999992,0.0568362264150914,0,0.0,0.156625,-0.156625,False
113,113,27.0,2,26.9766138,2,1,0.0233862000000009,0.0866155555555589,0,0.0,0.15675,-0.15675,False
114,114,27.5,2,27.4886889,2,1,0.0113111000000003,0.041131272727274,0,0.0,0.156875,-0.156875,False
115,115,28.0,2,27.9841015,2,1,0.0158984999999987,0.0567803571428525,0,0.0,0.157,-0.157,False
116,116,28.5,2,28.4869009,2,1,0.0130991000000015,0.0459617543859704,0,0.0,0.157125,-0.157125,False
117,117,29.0,2,28.9891202,2,1,0.0108798000000014,0.0375165517241428,0,0.0,0.15725,-0.15725,False
118,118,29.5,2,29.4879149,2,1,0.0120851000000001,0.0409664406779667,0,0.0,0.157375,-0.157375,False
119,119,30.0,2,29.9840212,2,1,0.0159787999999991,0.0532626666666639,0,0.0,0.1575,-0.1575,False
