,Voltage Set,Current Set,Voltage Measured,Current Measured,key,Voltage Absolute Error,Voltage Percentage Error (%),Current Absolute Error,Current Percentage Error(%)
54,27.5,1,27.4838534,1,0,0.016146599999999012,0.058714909090905494,0,0.0
55,28.0,1,27.9894607,1,0,0.010539300000001361,0.037640357142862006,0,0.0
56,28.5,1,28.4909083,1,0,0.009091699999999037,0.03190070175438258,0,0.0
57,29.0,1,28.9827403,1,0,0.017259700000000322,0.059516206896552834,0,0.0
58,29.5,1,29.4940757,1,0,0.0059243000000002155,0.020082372881356662,0,0.0
59,30.0,1,29.9794194,1,0,0.02058059999999884,0.06860199999999612,0,0.0
60,0.5,2,0.499468567,2,1,0.0005314330000000256,0.10628660000000512,0,0.0
61,1.0,2,0.998860378,2,1,0.0011396219999999513,0.11396219999999513,0,0.0
62,1.5,2,1.49796458,2,1,0.002035419999999899,0.1356946666666599,0,0.0
63,2.0,2,1.99825598,2,1,0.0017440200000000683,0.08720100000000341,0,0.0
64,2.5,2,2.49763501,2,1,0.002364989999999789,0.09459959999999157,0,0.0
65,3.0,2,2.99865338,2,1,0.001346620000000076,0.044887333333335874,0,0.0
66,3.5,2,3.49759915,2,1,0.002400849999999899,0.0685957142857114,0,0.0
67,4.0,2,3.99809501,2,1,0.0019049899999998843,0.04762474999999711,0,0.0
68,4.5,2,4.49815124,2,1,0.0018487599999996718,0.04108355555554826,0,0.0
69,5.0,2,4.99788299,2,1,0.0021170100000000858,0.042340200000001715,0,0.0
70,5.5,2,5.49846288,2,1,0.0015371200000000584,0.027947636363637427,0,0.0
71,6.0,2,5.99772403,2,1,0.002275970000000349,0.03793283333333915,0,0.0
72,6.5,2,6.49796107,2,1,0.0020389300000003274,0.03136815384615889,0,0.0
73,7.0,2,6.99764636,2,1,0.0023536399999999347,0.03362342857142764,0,0.0
74,7.5,2,7.49785522,2,1,0.0021447800000000683,0.028597066666667576,0,0.0
75,8.0,2,7.9972615,2,1,0.002738500000000421,0.034231250000005264,0,0.0
76,8.5,2,8.49748213,2,1,0.002517870000000144,0.029622000000001696,0,0.0
77,9.0,2,8.99798998,2,1,0.002010020000000168,0.022333555555557418,0,0.0
78,9.5,2,9.49768423,2,1,0.002315769999999162,0.024376526315780654,0,0.0
79,10.0,2,9.9976478,2,1,0.0023522000000006926,0.023522000000006926,0,0.0
80,10.5,2,10.4981644,2,1,0.0018355999999997152,0.01748190476190205,0,0.0
81,11.0,2,10.9981975,2,1,0.0018025000000001512,0.01638636363636501,0,0.0
82,11.5,2,11.4972381,2,1,0.0027618999999994287,0.024016521739125465,0,0.0
83,12.0,2,11.9988454,2,1,0.0011545999999995615,0.009621666666663014,0,0.0
84,12.5,2,12.4948748,2,1,0.005125200000000163,0.041001600000001304,0,0.0
85,13.0,2,12.9887556,2,1,0.01124440000000071,0.08649538461539008,0,0.0
86,13.5,2,13.4923774,2,1,0.00762259999999948,0.056463703703699845,0,0.0
87,14.0,2,13.9909373,2,1,0.009062699999999424,0.06473357142856731,0,0.0
88,14.5,2,14.4874329,2,1,0.012567100000000053,0.08666965517241415,0,0.0
89,15.0,2,14.9926554,2,1,0.007344599999999701,0.04896399999999801,0,0.0
90,15.5,2,15.4899804,2,1,0.010019599999999684,0.06464258064515925,0,0.0
91,16.0,2,15.9932711,2,1,0.006728900000000593,0.042055625000003705,0,0.0
92,16.5,2,16.4905082,2,1,0.009491799999999273,0.0575260606060562,0,0.0
93,17.0,2,16.9935497,2,1,0.006450300000000908,0.03794294117647593,0,0.0
94,17.5,2,17.4872412,2,1,0.012758800000000292,0.07290742857143023,0,0.0
95,18.0,2,17.9839719,2,1,0.016028099999999768,0.08904499999999871,0,0.0
96,18.5,2,18.4813379,2,1,0.018662100000000237,0.1008762162162175,0,0.0
97,19.0,2,18.9863936,2,1,0.013606400000000463,0.0716126315789498,0,0.0
98,19.5,2,19.4868605,2,1,0.013139500000001192,0.0673820512820574,0,0.0
99,20.0,2,19.9932467,2,1,0.00675329999999974,0.0337664999999987,0,0.0
100,20.5,2,20.4953196,2,1,0.004680400000001583,0.022831219512202846,0,0.0
101,21.0,2,20.9947797,2,1,0.005220300000001288,0.024858571428577562,0,0.0
102,21.5,2,21.4857164,2,1,0.014283599999998842,0.06643534883720391,0,0.0
103,22.0,2,21.9860543,2,1,0.013945700000000727,0.06338954545454877,0,0.0
104,22.5,2,22.4814726,2,1,0.01852739999999997,0.08234399999999988,0,0.0
105,23.0,2,22.9935565,2,1,0.006443499999999602,0.028015217391302617,0,0.0
106,23.5,2,23.4864464,2,1,0.013553600000001609,0.05767489361702813,0,0.0
107,24.0,2,23.9879087,2,1,0.012091300000001581,0.050380416666673256,0,0.0
108,24.5,2,24.4867521,2,1,0.013247899999999646,0.05407306122448835,0,0.0
109,25.0,2,24.9863575,2,1,0.013642499999999558,0.05456999999999823,0,0.0
110,25.5,2,25.4871447,2,1,0.012855299999998238,0.05041294117646368,0,0.0
111,26.0,2,25.9904136,2,1,0.009586399999999884,0.036870769230768784,0,0.0
112,26.5,2,26.4849384,2,1,0.015061599999999231,0.05683622641509144,0,0.0
113,27.0,2,26.9766138,2,1,0.023386200000000912,0.08661555555555893,0,0.0
114,27.5,2,27.4886889,2,1,0.011311100000000351,0.04113127272727401,0,0.0
115,28.0,2,27.9841015,2,1,0.015898499999998705,0.056780357142852525,0,0.0
116,28.5,2,28.4869009,2,1,0.013099100000001584,0.04596175438597047,0,0.0
117,29.0,2,28.9891202,2,1,0.010879800000001438,0.03751655172414289,0,0.0
118,29.5,2,29.4879149,2,1,0.012085100000000182,0.04096644067796672,0,0.0
119,30.0,2,29.9840212,2,1,0.015978799999999183,0.053262666666663946,0,0.0
