,Voltage Set,Current Set,Power Set,Power Measured,Voltage Measured,Current Measured,Voltage Absolute Error,Voltage Percentage Error (%),Current Absolute Error,Current Percentage Error(%)
81,1.0,1.98,1.98,1.97800609446,0.998992977,1.98,0.0010070229999999958,0.10070229999999958,0.0,0.0
82,1.5,1.98,2.9699999999999998,2.9661357924,1.49804838,1.98,0.0019516200000000428,0.13010800000000283,0.0,0.0
83,2.0,1.98,3.96,3.956724486,1.9983457,1.98,0.0016542999999999974,0.08271499999999987,0.0,0.0
84,2.5,1.98,4.95,4.9451495544,2.49755028,1.98,0.0024497199999999886,0.09798879999999954,0.0,0.0
85,3.0,1.98,5.9399999999999995,5.936442435,2.99820325,1.98,0.0017967500000000136,0.05989166666666712,0.0,0.0
86,3.5,1.98,6.93,6.9250082418,3.49747891,1.98,0.0025210900000001146,0.07203114285714614,0.0,0.0
87,4.0,1.98,7.92,7.916173947,3.99806765,1.98,0.0019323500000001381,0.04830875000000345,0.0,0.0
88,4.5,1.98,8.91,8.9053381692,4.49764554,1.98,0.0023544600000002802,0.05232133333333956,0.0,0.0
89,5.0,1.98,9.9,9.8951889762,4.99757019,1.98,0.0024298099999997547,0.04859619999999509,0.0,0.0
90,5.5,1.98,10.89,10.8854078454,5.49768073,1.98,0.0023192700000000954,0.042168545454547186,0.0,0.0
91,6.0,1.98,11.879999999999999,11.8766216844,5.99829378,1.98,0.0017062199999999805,0.028436999999999674,0.0,0.0
92,6.5,1.98,12.87,12.867435801,6.49870495,1.98,0.0012950500000004084,0.019923846153852436,0.0,0.0
93,7.0,1.98,13.86,13.855621626,6.9977887,1.98,0.002211299999999916,0.0315899999999988,0.0,0.0
94,7.5,1.98,14.85,14.8459817088,7.49797056,1.98,0.002029440000000271,0.027059200000003617,0.0,0.0
95,8.0,1.98,15.84,15.8355836496,7.99776952,1.98,0.0022304799999997016,0.02788099999999627,0.0,0.0
96,8.5,1.98,16.83,16.8265905192,8.49827804,1.98,0.0017219599999993562,0.020258352941168897,0.0,0.0
97,9.0,1.98,17.82,17.8163027064,8.99813268,1.98,0.0018673200000005608,0.02074800000000623,0.0,0.0
98,9.5,1.98,18.81,18.8068337028,9.49840086,1.98,0.0015991399999997213,0.016833052631576015,0.0,0.0
99,10.0,1.98,19.8,19.7952438816,9.99759792,1.98,0.002402079999999529,0.02402079999999529,0.0,0.0
